NMI_target,Metric,Paper_Result,Simulation_Result,Difference(Sim-Paper)
0.7,CNF,0.927,0.911,-0.016000000000000014
0.7,Mean_ACC,0.703,0.6315,-0.07150000000000001
0.7,Max_ACC,0.818,0.6878,-0.13019999999999998
0.7,Inter_clustering_NMI_D_R,0.699,0.6964772675311647,-0.002522732468835276
0.7,DivClust_NMI,0.71,0.66227,-0.04772999999999994
0.7,DivClust_ACC,0.815,0.6815857142857144,-0.1334142857142856
0.7,DivClust_ARI,0.675,0.56915,-0.10585
0.8,CNF,0.93,0.903,-0.027000000000000024
0.8,Mean_ACC,0.762,0.6663,-0.09570000000000001
0.8,Max_ACC,0.847,0.6904,-0.15659999999999996
0.8,Inter_clustering_NMI_D_R,0.814,0.7991842973138261,-0.014815702686173826
0.8,DivClust_NMI,0.724,0.6447,-0.07929999999999993
0.8,DivClust_ACC,0.819,0.6577428571428571,-0.16125714285714288
0.8,DivClust_ARI,0.681,0.54467,-0.13633000000000006
0.9,CNF,0.931,0.899,-0.03200000000000003
0.9,Mean_ACC,0.794,0.6773,-0.11670000000000003
0.9,Max_ACC,0.818,0.6948000000000001,-0.12319999999999987
0.9,Inter_clustering_NMI_D_R,0.9,0.8968032901944923,-0.0031967098055076804
0.9,DivClust_NMI,0.678,0.64855,-0.029450000000000087
0.9,DivClust_ACC,0.789,0.6792,-0.10980000000000001
0.9,DivClust_ARI,0.641,0.55375,-0.08725000000000005
0.95,CNF,0.934,0.91,-0.02400000000000002
0.95,Mean_ACC,0.762,0.6808,-0.08120000000000005
0.95,Max_ACC,0.773,0.6993,-0.07369999999999999
0.95,Inter_clustering_NMI_D_R,0.946,0.8752480790083181,-0.07075192099168182
0.95,DivClust_NMI,0.677,0.65523,-0.021770000000000067
0.95,DivClust_ACC,0.76,0.6850571428571429,-0.07494285714285709
0.95,DivClust_ARI,0.602,0.55987,-0.04213
1.0,CNF,0.934,0.903,-0.031000000000000028
1.0,Mean_ACC,0.763,0.6807,-0.08230000000000004
1.0,Max_ACC,0.763,0.6809999999999999,-0.08200000000000007
1.0,Inter_clustering_NMI_D_R,0.976,0.9799951840887685,0.003995184088768533
1.0,DivClust_NMI,0.678,0.64771,-0.03029000000000004
1.0,DivClust_ACC,0.763,0.6808142857142857,-0.0821857142857143
1.0,DivClust_ARI,0.604,0.55399,-0.05001
